url,title,imdb_score,description,director,stars,year,runtime,genre,rating,metascore,gross
https://www.imdb.com/title/tt13484872/,Stealing Raden Saleh,7.3,"To save his father, a master forger sets out to steal an invaluable painting with the help of a motley crew of specialists.",Angga Dwimas Sasongko,"Iqbaal Dhiafakhri Ramadhan, Angga Yunanda, Rachel Amanda, Umay Shahab",2022,154,"Action, Crime, Drama",TV-14,,
https://www.imdb.com/title/tt0281048/,Satan's Slave,5.9,"After the death of his wife, a businessman and his two kids are plagued by visions of ghosts and demons, and soon, people around them start to die, which all started after the arrival of their new and mysterious housekeeper.",Sisworo Gautama Putra,"Ruth Pelupessi, W.D. Mochtar, Fachrul Rozy, Simon Cader",1982,96,Horror,R,,
https://www.imdb.com/title/tt13834788/,Yuni,7.4,"In her last year of secondary school, a bright Indonesian student is determined to pursue her education and resist getting married, despite the expectations of her community.",Kamila Andini,"Arawinda Kirana, Asmara Abigail, Sekar Sari, Marissa Anita",2021,95,Drama,TV-MA,,
https://www.imdb.com/title/tt11127878/,Milea,6.2,Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.,Pidi Baiq,"Fajar Bustomi, Iqbaal Dhiafakhri Ramadhan, Vanesha Prescilla, Ira Wibowo, Bucek Depp",2020,102,"Drama, Romance",TV-14,,
https://www.imdb.com/title/tt9547812/,Satu Suro,6.2,"Bayu brings Adinda to hospital to give birth. Bayu goes back home and when he returns to the hospital he finds an empty, vacant old building.",Anggy Umbara,"Citra Kirana, Nino Fernandez, Alexandra Gottardo, Willem Bevers",2019,94,Horror,17+,,
https://www.imdb.com/title/tt27449521/,Bukannya Aku Tidak Mau Nikah,8.0,A woman finds her true love in Bali but gets caught in a dilemma between choosing her fiancé or following her heart.,Guntur Soeharjanto,"Amanda Rawles, Daffa Wardhana, Roy Sungkono, Wulan Guritno",2023,96,Drama,13+,,
https://www.imdb.com/title/tt15788948/,One Night Stand,6.5,A young man's trip to attend a funeral and a wedding on the same day leads to a journey of self-discovery when he's captivated by a chance encounter.,Adriyanto Dewo,"Jourdy Pranata, Putri Marino, Elang El Gibran, Tegar Satrya",IV) (2021,80,"Drama, Romance",,,
https://www.imdb.com/title/tt8581452/,Malam Jumat Kliwon,8.1,"A mentally-unstable author moves into an old house owned by her boyfriend's husband, only the find the place inhabited by a vengeful ghost.",Sisworo Gautama Putra,"Amit Abidin, Soendjoto Adibroto, Ali Albar, Bokir",1986,88,Horror,17+,,
https://www.imdb.com/title/tt0345301/,Gairah Malam 2,5.2,,Steady Rimba,"Malfin Shayna, Taffana Dewi, Chairil J.M., Eddy Chaniago",1995,73,"Drama, Horror, Mystery",,,
https://www.imdb.com/title/tt8517144/,Kafir: A Deal with the Devil,6.5,A family is being haunted by some strange happenings after the death of the father.,Azhar Kinoi Lubis,"Putri Ayudya, Sujiwo Tejo, Indah Permatasari, Rangga Azof",2018,97,"Drama, Horror, Mystery",TV-MA,,
https://www.imdb.com/title/tt14631244/,Wedding Agreement: The Series,7.3,Tari and Bian sign a wedding agreement ending their marriage after one year.,Indah Permatasari,"Refal Hady, Susan Sameh, Ren Hanami",2022– ,,"Drama, Romance",TV-14,,
https://www.imdb.com/title/tt1185438/,Pocong,5.9,Wisnu has to witness the brutal slaughter of his family and soon thereafter an evil spirit starts haunting him.,Rudy Soedjarwo,"Shally Tria Amanda, Ronald Kansil, Eddie Karsito, Kinaryosih",2006,90,"Drama, Horror, Thriller",D,,
https://www.imdb.com/title/tt9900552/,The Sacred Riana: Beginning,4.6,"In her childhood, Riana lived in a small town with her father and her mother who ran a funeral house business. A disaster required them move to Uncle Johan's house in Jakarta and Riana ...",Billy Christian,"The Sacred Riana, Aura Kasih, Agatha Chelsea, Prabu Revolusi",2019,111,Horror,17+,,
https://www.imdb.com/title/tt8597200/,Forbidden Love,5.9,"A scorned pregnant woman gets decapitated during a black magic battle with her ex-boyfriend, Andre. Her spirit then possesses the body of Andre's new girlfriend, turning her into a blood-sucking seductress.",Pitradjaya Burnama,"Lela Anggraini, Sonny Dewantara, Welda Hidayat, Lidya Larengkeng",1995,86,Horror,,,
https://www.imdb.com/title/tt0336053/,Bisikan Nafsu,7.9,,Steady Rimba,"Ibra Azhari, Windy Chindyana, Febby Lawrence",1996,51,"Horror, Romance",17+,,
https://www.imdb.com/title/tt11926672/,Lantai 4,,,,,2023,99,"Horror, Thriller",17+,,
https://www.imdb.com/title/tt11379038/,Pesugihan: Bersekutu dengan Iblis,5.6,"Hendri and Marini are successful in business. However, they don't pay enough attention to their children, Resika and Karin. Due to the economic crisis, their business goes backward until ...",Hanny Saputra,"Nirina Zubir, Gary M. Iskak, Isel Fricella, Nicole Adelaide",2023,93,Horror,17+,,
https://www.imdb.com/title/tt14954636/,The Womb,5.9,"Grappling with an unplanned pregnancy, a woman turns in desperation to a mysterious older couple who promise to take care of her baby.",Fajar Nugros,"Naysila Mirdad, Dimas Anggara, Lydia Kandou, Rukman Rosadi",2022,116,"Drama, Horror, Mystery",17+,,
